ARABIC LETTER HAMZA ISOLATED FORM;;FE80;;ﺀ;;FE80
ARABIC LETTER ALEF ISOLATED FORM;;FE8D;;ﺍ;;FE8D
ARABIC LETTER ALEF FINAL FORM;;FE8E;;ﺎ;;FE8E
ARABIC MATHEMATICAL ALEF;;1EE00;;𞸀;;1EE00
ARABIC MATHEMATICAL LOOPED ALEF;;1EE80;;𞺀;;1EE80
ARABIC LIGATURE AKBAR ISOLATED FORM;;FDF3;;ﷳ;;FDF3
ARABIC LIGATURE ALLAH ISOLATED FORM;;FDF2;;ﷲ;;FDF2
ARABIC LIGATURE ALEF WITH FATHATAN FINAL FORM;;FD3C;;ﴼ;;FD3C
ARABIC LIGATURE ALEF WITH FATHATAN ISOLATED FORM;;FD3D;;ﴽ;;FD3D
ARABIC LETTER ALEF WITH MADDA ABOVE;;0622;;آ;;0627 0653
ARABIC LETTER ALEF WITH MADDA ABOVE ISOLATED FORM;;FE81;;ﺁ;;FE81
ARABIC LETTER ALEF WITH MADDA ABOVE FINAL FORM;;FE82;;ﺂ;;FE82
ARABIC LETTER ALEF WITH HAMZA ABOVE;;0623;;أ;;0627 0654
ARABIC LETTER ALEF WITH HAMZA ABOVE ISOLATED FORM;;FE83;;ﺃ;;FE83
ARABIC LETTER ALEF WITH HAMZA ABOVE FINAL FORM;;FE84;;ﺄ;;FE84
ARABIC LETTER ALEF WITH HAMZA BELOW;;0625;;إ;;0627 0655
ARABIC LETTER ALEF WITH HAMZA BELOW ISOLATED FORM;;FE87;;ﺇ;;FE87
ARABIC LETTER ALEF WITH HAMZA BELOW FINAL FORM;;FE88;;ﺈ;;FE88
ARABIC LETTER HIGH HAMZA ALEF;;0675;;ٵ;;0675
ARABIC LETTER BEH ISOLATED FORM;;FE8F;;ﺏ;;FE8F
ARABIC LETTER BEH FINAL FORM;;FE90;;ﺐ;;FE90
ARABIC LETTER BEH INITIAL FORM;;FE91;;ﺑ;;FE91
ARABIC LETTER BEH MEDIAL FORM;;FE92;;ﺒ;;FE92
ARABIC MATHEMATICAL BEH;;1EE01;;𞸁;;1EE01
ARABIC MATHEMATICAL INITIAL BEH;;1EE21;;𞸡;;1EE21
ARABIC MATHEMATICAL STRETCHED BEH;;1EE61;;𞹡;;1EE61
ARABIC MATHEMATICAL LOOPED BEH;;1EE81;;𞺁;;1EE81
ARABIC MATHEMATICAL DOUBLE-STRUCK BEH;;1EEA1;;𞺡;;1EEA1
ARABIC LIGATURE BEH WITH JEEM ISOLATED FORM;;FC05;;ﰅ;;FC05
ARABIC LIGATURE BEH WITH JEEM INITIAL FORM;;FC9C;;ﲜ;;FC9C
ARABIC LIGATURE BEH WITH HAH ISOLATED FORM;;FC06;;ﰆ;;FC06
ARABIC LIGATURE BEH WITH HAH INITIAL FORM;;FC9D;;ﲝ;;FC9D
ARABIC LIGATURE BEH WITH HAH WITH YEH FINAL FORM;;FDC2;;ﷂ;;FDC2
ARABIC LIGATURE BEH WITH KHAH ISOLATED FORM;;FC07;;ﰇ;;FC07
ARABIC LIGATURE BEH WITH KHAH INITIAL FORM;;FC9E;;ﲞ;;FC9E
ARABIC LIGATURE BEH WITH KHAH WITH YEH FINAL FORM;;FD9E;;ﶞ;;FD9E
ARABIC LIGATURE BEH WITH REH FINAL FORM;;FC6A;;ﱪ;;FC6A
ARABIC LIGATURE BEH WITH ZAIN FINAL FORM;;FC6B;;ﱫ;;FC6B
ARABIC LIGATURE BEH WITH MEEM ISOLATED FORM;;FC08;;ﰈ;;FC08
ARABIC LIGATURE BEH WITH MEEM FINAL FORM;;FC6C;;ﱬ;;FC6C
ARABIC LIGATURE BEH WITH MEEM INITIAL FORM;;FC9F;;ﲟ;;FC9F
ARABIC LIGATURE BEH WITH MEEM MEDIAL FORM;;FCE1;;ﳡ;;FCE1
ARABIC LIGATURE BEH WITH NOON FINAL FORM;;FC6D;;ﱭ;;FC6D
ARABIC LIGATURE BEH WITH HEH INITIAL FORM;;FCA0;;ﲠ;;FCA0
ARABIC LIGATURE BEH WITH HEH MEDIAL FORM;;FCE2;;ﳢ;;FCE2
ARABIC LIGATURE BEH WITH ALEF MAKSURA ISOLATED FORM;;FC09;;ﰉ;;FC09
ARABIC LIGATURE BEH WITH ALEF MAKSURA FINAL FORM;;FC6E;;ﱮ;;FC6E
ARABIC LIGATURE BEH WITH YEH ISOLATED FORM;;FC0A;;ﰊ;;FC0A
ARABIC LIGATURE BEH WITH YEH FINAL FORM;;FC6F;;ﱯ;;FC6F
ARABIC LETTER TEH MARBUTA ISOLATED FORM;;FE93;;ﺓ;;FE93
ARABIC LETTER TEH MARBUTA FINAL FORM;;FE94;;ﺔ;;FE94
ARABIC LETTER TEH ISOLATED FORM;;FE95;;ﺕ;;FE95
ARABIC LETTER TEH FINAL FORM;;FE96;;ﺖ;;FE96
ARABIC LETTER TEH INITIAL FORM;;FE97;;ﺗ;;FE97
ARABIC LETTER TEH MEDIAL FORM;;FE98;;ﺘ;;FE98
ARABIC MATHEMATICAL TEH;;1EE15;;𞸕;;1EE15
ARABIC MATHEMATICAL INITIAL TEH;;1EE35;;𞸵;;1EE35
ARABIC MATHEMATICAL STRETCHED TEH;;1EE75;;𞹵;;1EE75
ARABIC MATHEMATICAL LOOPED TEH;;1EE95;;𞺕;;1EE95
ARABIC MATHEMATICAL DOUBLE-STRUCK TEH;;1EEB5;;𞺵;;1EEB5
ARABIC LIGATURE TEH WITH JEEM ISOLATED FORM;;FC0B;;ﰋ;;FC0B
ARABIC LIGATURE TEH WITH JEEM INITIAL FORM;;FCA1;;ﲡ;;FCA1
ARABIC LIGATURE TEH WITH JEEM WITH MEEM INITIAL FORM;;FD50;;ﵐ;;FD50
ARABIC LIGATURE TEH WITH JEEM WITH ALEF MAKSURA FINAL FORM;;FDA0;;ﶠ;;FDA0
ARABIC LIGATURE TEH WITH JEEM WITH YEH FINAL FORM;;FD9F;;ﶟ;;FD9F
ARABIC LIGATURE TEH WITH HAH ISOLATED FORM;;FC0C;;ﰌ;;FC0C
ARABIC LIGATURE TEH WITH HAH INITIAL FORM;;FCA2;;ﲢ;;FCA2
ARABIC LIGATURE TEH WITH HAH WITH JEEM FINAL FORM;;FD51;;ﵑ;;FD51
ARABIC LIGATURE TEH WITH HAH WITH JEEM INITIAL FORM;;FD52;;ﵒ;;FD52
ARABIC LIGATURE TEH WITH HAH WITH MEEM INITIAL FORM;;FD53;;ﵓ;;FD53
ARABIC LIGATURE TEH WITH KHAH ISOLATED FORM;;FC0D;;ﰍ;;FC0D
ARABIC LIGATURE TEH WITH KHAH INITIAL FORM;;FCA3;;ﲣ;;FCA3
ARABIC LIGATURE TEH WITH KHAH WITH MEEM INITIAL FORM;;FD54;;ﵔ;;FD54
ARABIC LIGATURE TEH WITH KHAH WITH ALEF MAKSURA FINAL FORM;;FDA2;;ﶢ;;FDA2
ARABIC LIGATURE TEH WITH KHAH WITH YEH FINAL FORM;;FDA1;;ﶡ;;FDA1
ARABIC LIGATURE TEH WITH REH FINAL FORM;;FC70;;ﱰ;;FC70
ARABIC LIGATURE TEH WITH ZAIN FINAL FORM;;FC71;;ﱱ;;FC71
ARABIC LIGATURE TEH WITH MEEM ISOLATED FORM;;FC0E;;ﰎ;;FC0E
ARABIC LIGATURE TEH WITH MEEM FINAL FORM;;FC72;;ﱲ;;FC72
ARABIC LIGATURE TEH WITH MEEM INITIAL FORM;;FCA4;;ﲤ;;FCA4
ARABIC LIGATURE TEH WITH MEEM MEDIAL FORM;;FCE3;;ﳣ;;FCE3
ARABIC LIGATURE TEH WITH MEEM WITH JEEM INITIAL FORM;;FD55;;ﵕ;;FD55
ARABIC LIGATURE TEH WITH MEEM WITH HAH INITIAL FORM;;FD56;;ﵖ;;FD56
ARABIC LIGATURE TEH WITH MEEM WITH KHAH INITIAL FORM;;FD57;;ﵗ;;FD57
