MATHEMATICAL BOLD CAPITAL ALPHA;;1D6A8;;𝚨;;1D6A8
MATHEMATICAL BOLD SMALL ALPHA;;1D6C2;;𝛂;;1D6C2
MATHEMATICAL ITALIC CAPITAL ALPHA;;1D6E2;;𝛢;;1D6E2
MATHEMATICAL ITALIC SMALL ALPHA;;1D6FC;;𝛼;;1D6FC
MATHEMATICAL BOLD ITALIC CAPITAL ALPHA;;1D71C;;𝜜;;1D71C
MATHEMATICAL BOLD ITALIC SMALL ALPHA;;1D736;;𝜶;;1D736
MATHEMATICAL SANS-SERIF BOLD CAPITAL ALPHA;;1D756;;𝝖;;1D756
MATHEMATICAL SANS-SERIF BOLD SMALL ALPHA;;1D770;;𝝰;;1D770
MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL ALPHA;;1D790;;𝞐;;1D790
MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL ALPHA;;1D7AA;;𝞪;;1D7AA
GREEK SMALL LETTER ALPHA WITH VARIA;;1F70;;ὰ;;03B1 0300
GREEK CAPITAL LETTER ALPHA WITH VARIA;;1FBA;;Ὰ;;0391 0300
GREEK SMALL LETTER ALPHA WITH VARIA AND YPOGEGRAMMENI;;1FB2;;ᾲ;;03B1 0300 0345
GREEK CAPITAL LETTER ALPHA WITH TONOS;;0386;;Ά;;0391 0301
GREEK SMALL LETTER ALPHA WITH TONOS;;03AC;;ά;;03B1 0301
GREEK SMALL LETTER ALPHA WITH OXIA;;1F71;;ά;;03B1 0301
GREEK CAPITAL LETTER ALPHA WITH OXIA;;1FBB;;Ά;;0391 0301
GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI;;1FB4;;ᾴ;;03B1 0301 0345
GREEK SMALL LETTER ALPHA WITH MACRON;;1FB1;;ᾱ;;03B1 0304
GREEK CAPITAL LETTER ALPHA WITH MACRON;;1FB9;;Ᾱ;;0391 0304
GREEK SMALL LETTER ALPHA WITH VRACHY;;1FB0;;ᾰ;;03B1 0306
GREEK CAPITAL LETTER ALPHA WITH VRACHY;;1FB8;;Ᾰ;;0391 0306
GREEK SMALL LETTER ALPHA WITH PSILI;;1F00;;ἀ;;03B1 0313
GREEK CAPITAL LETTER ALPHA WITH PSILI;;1F08;;Ἀ;;0391 0313
GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA;;1F02;;ἂ;;03B1 0313 0300
GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA;;1F0A;;Ἂ;;0391 0313 0300
GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA AND YPOGEGRAMMENI;;1F82;;ᾂ;;03B1 0313 0300 0345
GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA AND PROSGEGRAMMENI;;1F8A;;ᾊ;;0391 0313 0300 0345
GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA;;1F04;;ἄ;;03B1 0313 0301
GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA;;1F0C;;Ἄ;;0391 0313 0301
GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA AND YPOGEGRAMMENI;;1F84;;ᾄ;;03B1 0313 0301 0345
GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA AND PROSGEGRAMMENI;;1F8C;;ᾌ;;0391 0313 0301 0345
GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI;;1F06;;ἆ;;03B1 0313 0342
GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI;;1F0E;;Ἆ;;0391 0313 0342
GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI;;1F86;;ᾆ;;03B1 0313 0342 0345
GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI;;1F8E;;ᾎ;;0391 0313 0342 0345
GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI;;1F80;;ᾀ;;03B1 0313 0345
GREEK CAPITAL LETTER ALPHA WITH PSILI AND PROSGEGRAMMENI;;1F88;;ᾈ;;0391 0313 0345
GREEK SMALL LETTER ALPHA WITH DASIA;;1F01;;ἁ;;03B1 0314
GREEK CAPITAL LETTER ALPHA WITH DASIA;;1F09;;Ἁ;;0391 0314
GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA;;1F03;;ἃ;;03B1 0314 0300
GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA;;1F0B;;Ἃ;;0391 0314 0300
GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA AND YPOGEGRAMMENI;;1F83;;ᾃ;;03B1 0314 0300 0345
GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA AND PROSGEGRAMMENI;;1F8B;;ᾋ;;0391 0314 0300 0345
GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA;;1F05;;ἅ;;03B1 0314 0301
GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA;;1F0D;;Ἅ;;0391 0314 0301
GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA AND YPOGEGRAMMENI;;1F85;;ᾅ;;03B1 0314 0301 0345
GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA AND PROSGEGRAMMENI;;1F8D;;ᾍ;;0391 0314 0301 0345
GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI;;1F07;;ἇ;;03B1 0314 0342
GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI;;1F0F;;Ἇ;;0391 0314 0342
GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI;;1F87;;ᾇ;;03B1 0314 0342 0345
GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI;;1F8F;;ᾏ;;0391 0314 0342 0345
GREEK SMALL LETTER ALPHA WITH DASIA AND YPOGEGRAMMENI;;1F81;;ᾁ;;03B1 0314 0345
GREEK CAPITAL LETTER ALPHA WITH DASIA AND PROSGEGRAMMENI;;1F89;;ᾉ;;0391 0314 0345
GREEK SMALL LETTER ALPHA WITH PERISPOMENI;;1FB6;;ᾶ;;03B1 0342
GREEK SMALL LETTER ALPHA WITH PERISPOMENI AND YPOGEGRAMMENI;;1FB7;;ᾷ;;03B1 0342 0345
GREEK SMALL LETTER ALPHA WITH YPOGEGRAMMENI;;1FB3;;ᾳ;;03B1 0345
GREEK CAPITAL LETTER ALPHA WITH PROSGEGRAMMENI;;1FBC;;ᾼ;;0391 0345
GREEK BETA SYMBOL;;03D0;;ϐ;;03D0
MODIFIER LETTER SMALL BETA;;1D5D;;ᵝ;;1D5D
GREEK SUBSCRIPT SMALL LETTER BETA;;1D66;;ᵦ;;1D66
MATHEMATICAL BOLD CAPITAL BETA;;1D6A9;;𝚩;;1D6A9
MATHEMATICAL BOLD SMALL BETA;;1D6C3;;𝛃;;1D6C3
MATHEMATICAL ITALIC CAPITAL BETA;;1D6E3;;𝛣;;1D6E3
MATHEMATICAL ITALIC SMALL BETA;;1D6FD;;𝛽;;1D6FD
MATHEMATICAL BOLD ITALIC CAPITAL BETA;;1D71D;;𝜝;;1D71D
MATHEMATICAL BOLD ITALIC SMALL BETA;;1D737;;𝜷;;1D737
MATHEMATICAL SANS-SERIF BOLD CAPITAL BETA;;1D757;;𝝗;;1D757
MATHEMATICAL SANS-SERIF BOLD SMALL BETA;;1D771;;𝝱;;1D771
MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL BETA;;1D791;;𝞑;;1D791
MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL BETA;;1D7AB;;𝞫;;1D7AB
MODIFIER LETTER SMALL GREEK GAMMA;;1D5E;;ᵞ;;1D5E
GREEK SUBSCRIPT SMALL LETTER GAMMA;;1D67;;ᵧ;;1D67
DOUBLE-STRUCK SMALL GAMMA;;213D;;ℽ;;213D
DOUBLE-STRUCK CAPITAL GAMMA;;213E;;ℾ;;213E
MATHEMATICAL BOLD CAPITAL GAMMA;;1D6AA;;𝚪;;1D6AA
MATHEMATICAL BOLD SMALL GAMMA;;1D6C4;;𝛄;;1D6C4
MATHEMATICAL ITALIC CAPITAL GAMMA;;1D6E4;;𝛤;;1D6E4
MATHEMATICAL ITALIC SMALL GAMMA;;1D6FE;;𝛾;;1D6FE
MATHEMATICAL BOLD ITALIC CAPITAL GAMMA;;1D71E;;𝜞;;1D71E
MATHEMATICAL BOLD ITALIC SMALL GAMMA;;1D738;;𝜸;;1D738
MATHEMATICAL SANS-SERIF BOLD CAPITAL GAMMA;;1D758;;𝝘;;1D758
MATHEMATICAL SANS-SERIF BOLD SMALL GAMMA;;1D772;;𝝲;;1D772
MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL GAMMA;;1D792;;𝞒;;1D792
MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL GAMMA;;1D7AC;;𝞬;;1D7AC
MODIFIER LETTER SMALL DELTA;;1D5F;;ᵟ;;1D5F
MATHEMATICAL BOLD CAPITAL DELTA;;1D6AB;;𝚫;;1D6AB
MATHEMATICAL BOLD SMALL DELTA;;1D6C5;;𝛅;;1D6C5
MATHEMATICAL ITALIC CAPITAL DELTA;;1D6E5;;𝛥;;1D6E5
MATHEMATICAL ITALIC SMALL DELTA;;1D6FF;;𝛿;;1D6FF
MATHEMATICAL BOLD ITALIC CAPITAL DELTA;;1D71F;;𝜟;;1D71F
MATHEMATICAL BOLD ITALIC SMALL DELTA;;1D739;;𝜹;;1D739
MATHEMATICAL SANS-SERIF BOLD CAPITAL DELTA;;1D759;;𝝙;;1D759
MATHEMATICAL SANS-SERIF BOLD SMALL DELTA;;1D773;;𝝳;;1D773
MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL DELTA;;1D793;;𝞓;;1D793
MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL DELTA;;1D7AD;;𝞭;;1D7AD
GREEK LUNATE EPSILON SYMBOL;;03F5;;ϵ;;03F5
MATHEMATICAL BOLD CAPITAL EPSILON;;1D6AC;;𝚬;;1D6AC
MATHEMATICAL BOLD SMALL EPSILON;;1D6C6;;𝛆;;1D6C6
MATHEMATICAL BOLD EPSILON SYMBOL;;1D6DC;;𝛜;;1D6DC
MATHEMATICAL ITALIC CAPITAL EPSILON;;1D6E6;;𝛦;;1D6E6
MATHEMATICAL ITALIC SMALL EPSILON;;1D700;;𝜀;;1D700
MATHEMATICAL ITALIC EPSILON SYMBOL;;1D716;;𝜖;;1D716
MATHEMATICAL BOLD ITALIC CAPITAL EPSILON;;1D720;;𝜠;;1D720
MATHEMATICAL BOLD ITALIC SMALL EPSILON;;1D73A;;𝜺;;1D73A
MATHEMATICAL BOLD ITALIC EPSILON SYMBOL;;1D750;;𝝐;;1D750
MATHEMATICAL SANS-SERIF BOLD CAPITAL EPSILON;;1D75A;;𝝚;;1D75A
MATHEMATICAL SANS-SERIF BOLD SMALL EPSILON;;1D774;;𝝴;;1D774
MATHEMATICAL SANS-SERIF BOLD EPSILON SYMBOL;;1D78A;;𝞊;;1D78A
MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL EPSILON;;1D794;;𝞔;;1D794
MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL EPSILON;;1D7AE;;𝞮;;1D7AE
MATHEMATICAL SANS-SERIF BOLD ITALIC EPSILON SYMBOL;;1D7C4;;𝟄;;1D7C4
GREEK SMALL LETTER EPSILON WITH VARIA;;1F72;;ὲ;;03B5 0300
GREEK CAPITAL LETTER EPSILON WITH VARIA;;1FC8;;Ὲ;;0395 0300
GREEK CAPITAL LETTER EPSILON WITH TONOS;;0388;;Έ;;0395 0301
GREEK SMALL LETTER EPSILON WITH TONOS;;03AD;;έ;;03B5 0301
GREEK SMALL LETTER EPSILON WITH OXIA;;1F73;;έ;;03B5 0301
GREEK CAPITAL LETTER EPSILON WITH OXIA;;1FC9;;Έ;;0395 0301
GREEK SMALL LETTER EPSILON WITH PSILI;;1F10;;ἐ;;03B5 0313
GREEK CAPITAL LETTER EPSILON WITH PSILI;;1F18;;Ἐ;;0395 0313
GREEK SMALL LETTER EPSILON WITH PSILI AND VARIA;;1F12;;ἒ;;03B5 0313 0300
