ALEF SYMBOL;;2135;;ℵ;;2135
HEBREW LETTER WIDE ALEF;;FB21;;ﬡ;;FB21
HEBREW LETTER ALEF WITH PATAH;;FB2E;;אַ;;05D0 05B7
HEBREW LETTER ALEF WITH QAMATS;;FB2F;;אָ;;05D0 05B8
HEBREW LETTER ALEF WITH MAPIQ;;FB30;;אּ;;05D0 05BC
HEBREW LIGATURE ALEF LAMED;;FB4F;;ﭏ;;FB4F
BET SYMBOL;;2136;;ℶ;;2136
HEBREW LETTER BET WITH DAGESH;;FB31;;בּ;;05D1 05BC
HEBREW LETTER BET WITH RAFE;;FB4C;;בֿ;;05D1 05BF
GIMEL SYMBOL;;2137;;ℷ;;2137
HEBREW LETTER GIMEL WITH DAGESH;;FB32;;גּ;;05D2 05BC
DALET SYMBOL;;2138;;ℸ;;2138
HEBREW LETTER WIDE DALET;;FB22;;ﬢ;;FB22
HEBREW LETTER DALET WITH DAGESH;;FB33;;דּ;;05D3 05BC
HEBREW LETTER WIDE HE;;FB23;;ﬣ;;FB23
HEBREW LETTER HE WITH MAPIQ;;FB34;;הּ;;05D4 05BC
HEBREW LETTER VAV WITH HOLAM;;FB4B;;וֹ;;05D5 05B9
HEBREW LETTER VAV WITH DAGESH;;FB35;;וּ;;05D5 05BC
HEBREW LETTER ZAYIN WITH DAGESH;;FB36;;זּ;;05D6 05BC
HEBREW LETTER TET WITH DAGESH;;FB38;;טּ;;05D8 05BC
HEBREW LETTER YOD WITH HIRIQ;;FB1D;;יִ;;05D9 05B4
HEBREW LETTER YOD WITH DAGESH;;FB39;;יּ;;05D9 05BC
HEBREW LETTER FINAL KAF WITH DAGESH;;FB3A;;ךּ;;05DA 05BC
HEBREW LETTER WIDE KAF;;FB24;;ﬤ;;FB24
HEBREW LETTER KAF WITH DAGESH;;FB3B;;כּ;;05DB 05BC
HEBREW LETTER KAF WITH RAFE;;FB4D;;כֿ;;05DB 05BF
HEBREW LETTER WIDE LAMED;;FB25;;ﬥ;;FB25
HEBREW LETTER LAMED WITH DAGESH;;FB3C;;לּ;;05DC 05BC
HEBREW LETTER WIDE FINAL MEM;;FB26;;ﬦ;;FB26
HEBREW LETTER MEM WITH DAGESH;;FB3E;;מּ;;05DE 05BC
HEBREW LETTER NUN WITH DAGESH;;FB40;;נּ;;05E0 05BC
HEBREW LETTER SAMEKH WITH DAGESH;;FB41;;סּ;;05E1 05BC
HEBREW LETTER ALTERNATIVE AYIN;;FB20;;ﬠ;;FB20
HEBREW LETTER FINAL PE WITH DAGESH;;FB43;;ףּ;;05E3 05BC
HEBREW LETTER PE WITH DAGESH;;FB44;;פּ;;05E4 05BC
HEBREW LETTER PE WITH RAFE;;FB4E;;פֿ;;05E4 05BF
HEBREW LETTER TSADI WITH DAGESH;;FB46;;צּ;;05E6 05BC
HEBREW LETTER QOF WITH DAGESH;;FB47;;קּ;;05E7 05BC
HEBREW LETTER WIDE RESH;;FB27;;ﬧ;;FB27
HEBREW LETTER RESH WITH DAGESH;;FB48;;רּ;;05E8 05BC
HEBREW LETTER SHIN WITH DAGESH;;FB49;;שּ;;05E9 05BC
HEBREW LETTER SHIN WITH DAGESH AND SHIN DOT;;FB2C;;שּׁ;;05E9 05BC 05C1
HEBREW LETTER SHIN WITH DAGESH AND SIN DOT;;FB2D;;שּׂ;;05E9 05BC 05C2
HEBREW LETTER SHIN WITH SHIN DOT;;FB2A;;שׁ;;05E9 05C1
HEBREW LETTER SHIN WITH SIN DOT;;FB2B;;שׂ;;05E9 05C2
HEBREW LETTER WIDE TAV;;FB28;;ﬨ;;FB28
HEBREW LETTER TAV WITH DAGESH;;FB4A;;תּ;;05EA 05BC
HEBREW LIGATURE YIDDISH YOD YOD PATAH;;FB1F;;ײַ;;05F2 05B7
